filepath,relative_path,device_type,damage_status,top_level_folder,has_damage_label,has_device_type_label,device_type_label_source,is_defect_folder,is_standard_device_image,is_defect_challenge,is_augmented,source_relative_path
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device 2\3_aug_023.jpg,device 2/3_aug_023.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device 2\3_1_aug_024.jpg,device 2/3_1_aug_024.jpg,device 2,Not-Damaged,device 2,True,,,False,True,False,True,device 2/3_1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_001.jpg,device1/1_aug_001.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_002.jpg,device1/2_aug_002.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_003.jpg,device1/1_aug_003.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_004.jpg,device1/2_aug_004.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_005.jpg,device1/1_aug_005.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_006.jpg,device1/2_aug_006.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_007.jpg,device1/1_aug_007.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_008.jpg,device1/2_aug_008.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_009.jpg,device1/1_aug_009.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_010.jpg,device1/2_aug_010.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_011.jpg,device1/1_aug_011.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_012.jpg,device1/2_aug_012.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_013.jpg,device1/1_aug_013.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_014.jpg,device1/2_aug_014.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_015.jpg,device1/1_aug_015.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_016.jpg,device1/2_aug_016.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_017.jpg,device1/1_aug_017.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_018.jpg,device1/2_aug_018.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_019.jpg,device1/1_aug_019.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_020.jpg,device1/2_aug_020.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_021.jpg,device1/1_aug_021.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_022.jpg,device1/2_aug_022.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_023.jpg,device1/1_aug_023.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_024.jpg,device1/2_aug_024.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_025.jpg,device1/1_aug_025.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_026.jpg,device1/2_aug_026.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\1_aug_027.jpg,device1/1_aug_027.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/1.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\device1\2_aug_028.jpg,device1/2_aug_028.jpg,device1,Not-Damaged,device1,True,,,False,True,False,True,device1/2.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\1_Defect(1).png,Defect/1_Defect(1).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(1).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\1_Defect(2).png,Defect/1_Defect(2).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(2).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\1_Defect(3).png,Defect/1_Defect(3).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(3).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\1_Defect(4).png,Defect/1_Defect(4).png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect(4).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\1_Defect.png,Defect/1_Defect.png,device1,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/1_Defect.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_2_Defect(1).png,Defect/2_2_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(1).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_2_Defect(2).png,Defect/2_2_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(2).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_2_Defect(3).png,Defect/2_2_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect(3).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_2_Defect.png,Defect/2_2_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_2_Defect.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_3_Defect(1).png,Defect/2_3_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(1).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_3_Defect(2).png,Defect/2_3_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(2).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_3_Defect(3).png,Defect/2_3_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect(3).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_3_Defect.png,Defect/2_3_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_3_Defect.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_Defect(1).png,Defect/2_Defect(1).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(1).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_Defect(2).png,Defect/2_Defect(2).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(2).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_Defect(3).png,Defect/2_Defect(3).png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect(3).png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_Defect.png,Defect/2_Defect.png,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_Defect.png
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS1.jpg,Defect/2_NRS1.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS1.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS10.jpg,Defect/2_NRS10.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS10.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS2.jpg,Defect/2_NRS2.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS2.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS3.jpg,Defect/2_NRS3.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS3.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS4.jpg,Defect/2_NRS4.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS4.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS5.jpg,Defect/2_NRS5.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS5.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS6.jpg,Defect/2_NRS6.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS6.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS7.jpg,Defect/2_NRS7.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS7.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS8.jpg,Defect/2_NRS8.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS8.jpg
C:\Users\k-12outreach\Desktop\SummerWorkshop_NRS\MSU_SummerWorkshop\Augmented_Device_Images\Defect\2_NRS9.jpg,Defect/2_NRS9.jpg,device 2,Damaged,Defect,True,True,filename-prefix,True,False,True,False,Defect/2_NRS9.jpg
